sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
GSM920368,0.088587928,0,0,0.018242196,0,0.15460184,0,0.066721277,0.005383503,0,0,0.080770793,0.019725425,0,0.129391532,0.182186887,0.026437001,0,0,0.109441644,0,0.118509972
GSM920369,0.059720931,0,0,0.0773548,0,0.18174243,0,0.034382085,0.070617504,0,0,0.029868968,0.018120215,0,0.160046003,0.237425061,0.031924656,0,0,0.077524576,0,0.021272772
GSM920370,0.09750257,0,0.071148912,0.051551845,0,0.200311656,0,0.02590296,0.037841371,0,0,0.055675853,0.011504582,0,0.120101276,0.142281851,0.039141724,0,0,0.080182712,0,0.066852688
GSM920371,0.094509342,0,0.10037452,0,0,0.132427216,0.005474148,0.027514179,0.025650866,0,0,0.045216205,0.07333814,0,0.047883548,0.265768511,0.013953043,0.014264026,0,0.038236223,0,0.115390031
GSM920372,0.099723984,0,0.050050755,0.00608659,0,0.285354782,0.017933501,0.057723931,0,0,0,0.028639127,0,0,0.09758723,0.242299779,0.077228159,0,0,0.024416243,0,0.01295592
GSM920373,0.064411427,0,0,0.089424725,0,0.078094855,0,0.054288479,0.024375912,0,0.009014844,0.043801781,0.043300511,0,0.153026259,0.244381251,0.034740002,0,0,0.069704613,0,0.091435341
GSM920374,0.15242198,0,0,0.01589283,0,0.145731904,0,0.094800075,0.055883977,0,0.005134245,0.008740283,0,0,0.095358275,0.205288888,0.041241325,0,0,0.113636895,0,0.065869324
GSM920375,0.087815352,0,0.023028752,0,0,0.235031674,0.018684292,0.037988047,0,0,0.008682653,0.07387952,0.002777301,0,0.111976963,0.242340425,0.032890986,0,0.006313674,0,0,0.118590361
GSM920376,0.05281873,0,0.027736758,0.00674771,0,0.16360811,0.084616265,0.043709889,0,0.008174657,0.010698186,0,0.121755046,0.061809425,0.011092812,0,0,0,0,0.091574261,0,0.315658152
GSM920377,0.065860744,0,0,0.121688112,0,0.201292767,0.02073728,0.038684307,0.002292563,0,0,0.053878101,0.056484595,0,0.17481128,0.138869905,0.03976965,0,0,0.056950148,0,0.028680548
GSM920378,0.0766083,0.006963352,0,0.11266178,0,0.033292125,0,0.037516487,0.029979709,0,0.054299415,0.013639582,0.039062933,0,0.137100551,0.153729006,0.068838176,0,0,0.123214306,0,0.113094279
GSM920379,0.116923641,0,0.036616519,0,0,0.224351929,0.038767896,0.06777808,0.006074604,0,0,0.024101235,0.053337091,0,0.073136921,0.066602685,0.084544168,0,0,0.131235694,0,0.076529537
GSM920380,0.11659182,0.003790055,0,0.086805751,0,0.126655991,0.021464916,0.080269325,0.007668303,0,0.017934034,0,0.032283137,0,0.013734485,0.224283919,0.034419979,0.0121105,0,0.131358979,0,0.090628805
GSM920381,0.0453765,0,0.011637125,0.01095055,0,0.111929428,0,0.050403288,0.040082443,0.003878647,0,0.021937302,0.060829538,0.016696962,0.01857725,0.164779412,0.022848003,0.011693393,0,0.104542461,0,0.303837697
GSM920382,0.039621065,0,0.045157059,0,0,0.203795129,0.041779985,0,0,0.040551298,0,0.094490386,0,0,0.093639065,0.149297936,0.056713049,0,0.012320474,0.016140474,0,0.20649408
GSM920383,0.111413038,0,0.032737297,0,0,0.232436649,0,0.122770585,0.016943477,0,0,0.047130908,0,0,0.107564671,0.152136163,0.023588609,0,0,0.087353413,0,0.065925189
GSM920384,0.180687414,0,0.102444453,0,0,0.194701976,0.052431066,0.098452333,0.036847252,0,0,0.026287532,0.002777443,0,0.056568232,0.165748757,0,0.004019273,0,0.057269748,0,0.021764521
GSM920385,0.095230988,0,0.03878749,0.037854737,0,0.24048319,0.072540435,0.047584316,0,0,0.031967851,0,0.010900906,0,0.056490799,0.20713271,0.003976683,0,0,0.088365057,0,0.068684837
GSM920350,0.022731416,0,0.024336505,0,0,0.197137403,0,0.072599367,0.03302884,0,0,0.094078189,0.006803432,0,0.16166677,0.169917448,0.066384383,0,0,0.092364963,0,0.058951284
GSM920351,0.044548424,0,0.004018309,0,0,0,0,0.062363206,0.031026826,0.037402787,0.005443962,0,0.552406313,0.02247872,0.003972817,0,0.017803963,0.017871944,0,0.041032472,0.00043918,0.159191077
GSM920352,0.068172109,0,0,0.033214553,0,0.152277817,0,0.087597069,0.047651964,0,0,0.04898206,0.081461705,0,0.078638894,0.225556059,0.05868131,0,0,0.11776646,0,0
GSM920353,0.052442326,0,0.054577768,0.054364667,0,0.076514994,0,0.014871451,0,0,0.03418477,0.052778678,0.460396414,0.035567676,0.09752893,0,0.043937473,0,0.022834854,0,0,0
GSM1046922,0.069472789,0.006853652,0,0.008945983,0,0.2473132,0,0.041437795,0.02908646,0,0,0.027433309,0.035478514,0,0.126764845,0.054264058,0.14895015,0,0,0.142958434,0,0.061040809
GSM1046923,0.059718471,0,0,0.007582833,0,0.289063758,0,0.023752977,0.02734969,0,0,0.018635347,0.035054463,0,0.097138674,0.156775016,0.097337886,0,0,0.133634727,0,0.053956157
GSM1046924,0,0.151750481,0.028306818,0,0,0.010889778,0,0.060336259,0.016987049,0.03268703,0,0.070623972,0.025141884,0,0.063819749,0.197957507,0.094277964,0,0,0.198901331,0,0.048320178
GSM1046925,0.089678891,0,0,0.100755138,0,0.115500497,0,0.055599389,0.076031224,0,0,0.011202022,0.092744072,0,0.038117585,0.087113262,0.072180104,0.015369217,0,0.200690346,0,0.045018252
GSM1046926,0.078338964,0.007319717,0,0,0,0.229103375,0,0.054003332,0.066188948,0,0,0.02269824,0.02447324,0,0.108352919,0.105051484,0.133334256,0,0,0.171135524,0,0
GSM920401,0.049549932,0,0.000154643,0.071122295,0,0.230175502,0.011842675,0,0.077704639,0,0.057345087,0,0.093854882,0.017377114,0.156578071,0.133562185,0.022078292,0,0,0.047743885,0,0.030910798
GSM920402,0.05062292,0,0,0.111589753,0,0.055991727,0.005464827,0.009696889,0.068757899,0,0.025664185,0.067753811,0.299893768,0.050667682,0.048430811,0.170084222,0.024308336,0,0.004924985,0,0,0.006148185
GSM920403,0.022189615,0,0,0.103200408,0,0,0.08548186,0.002439827,0.003785047,0,0.013109577,0.106525034,0.372237419,0.0394681,0.099730566,0.020031859,0.005826791,0,0.096574448,0,0,0.029399449
GSM920404,0.055444364,0,0,0.147150471,0,0.038751073,0,0.016750791,0.032207555,0,0.027305903,0.038196469,0.340837551,0.04508643,0.105178533,0,0.054715096,0,0,0.098375765,0,0
GSM920405,0.07802876,0,0.072244521,0.083617706,0,0.15711066,0,0.084967207,0.02987664,0,0,0.052618403,0.20089342,0,0.09298321,0.095712468,0.010506007,0,0,0.041440998,0,0
GSM920406,0.022317525,0,0.107569628,0.019308679,0,0.044155106,0,0,0.028305083,0.016794456,0,0.072875487,0.277433401,0.0832819,0.033381093,0.027236801,0,0,0,0.126702264,0,0.140638577
GSM920407,0,0.031451841,0.028413043,0.054861091,0.079537645,0,0.024678059,0,0.023124188,0.001776203,0,0.0555112,0.190728036,0,0.030626727,0.277456237,0.046634027,0,0.1524264,0,0,0.002775305
GSM920408,0.058116432,0,0,0.085528471,0,0.222481208,0,0.054835201,0.033618125,0,0,0.048945366,0.012059219,0,0.150996707,0.187397052,0.062460259,0,0.024037686,0.012882142,0,0.046642132
GSM920409,0.017081666,0.033657286,0.035892959,0,0.027397027,0,0,0.067327885,0,0.020004171,0,0.054393294,0.241012439,0.041714646,0.045057988,0.270212734,0.029135715,0,0,0.014283205,0,0.102828986
GSM920410,0.04681781,0,0.147878954,0.045689043,0,0.029013982,0,0,0.045275084,0,0.019123752,0.037734996,0.350537119,0.015974234,0.123026107,0.083939302,0.023200949,0,0,0.026088328,0,0.00570034
GSM920411,0.076479138,0,0.000910406,0.06812486,0,0.015276714,0.023211418,0.040104643,0.071247963,0,0.006266048,0.091754615,0.139655602,0.035160876,0.152592752,0.10790309,0.040914381,0,0,0.119547473,0,0.01085002
GSM920412,0.037560492,0,0.001411034,0,0,0.14346105,0,0.041742343,0,0,0,0.122432227,0.224843518,0.034012419,0.119280637,0.095489709,0.03117145,0,0,0.135848539,0,0.012746582
GSM920413,0.018455528,0.081939124,0,0.037868301,0,0.105303729,0,0,0.015668873,0,0,0.041411858,0.103115938,0,0.029069918,0.354938346,0.017844342,0,0,0.126249064,0,0.068134976
GSM920414,0.057024983,0,0,0.020277623,0,0.141896804,0,0,0.059401911,0,0,0.085262906,0.153886498,0.043219166,0.079935581,0.194208652,0.035768838,0,0,0.102355305,0,0.026761736
GSM920415,0.06121223,0,0,0.042890268,0,0.071112353,0.010476704,0.013044334,0.027112792,0,0,0.073369748,0.205388757,0.030034138,0.144454662,0.061093672,0.035222171,0,0,0.224588171,0,0
GSM920416,0.010198543,0.026137078,0.023095239,0,0.032454425,0,0,0,0.021670604,0.050475164,0,0.021607067,0.147192923,0.102289608,0.019967536,0.423579522,0.03095253,0,0,0.016439032,0,0.073940728
GSM920417,0,0,0.02438279,0.129321027,0,0,0,0.037428636,0.006859424,0.023849938,0,0.072355551,0.238326092,0,0.028219097,0.288286453,0.034414788,0,0,0.075399407,0,0.041156796
GSM920418,0.009000511,0.045841738,0.002176491,0.041617361,0,0.079136734,0,0,0.074962123,0,0,0.019269919,0.130891976,0,0.17094348,0.247136766,0.043095231,0,0,0.062820972,0,0.073106698
GSM920419,0,0.048399438,0.029232827,0,0,0.147828189,0,0.067250824,0,0,0,0.117322153,0.138536057,0.027159221,0.188547792,0.07315152,0.040150185,0,0,0.098355345,0,0.02406645
GSM920420,0.011930394,0.008845584,0.051022997,0,0,0.161544605,0,0.060493512,0.011099277,0,0.043642243,0.052306349,0.232053281,0.047202024,0.131654165,0.070744208,0.032021729,0,0.038037635,0,0,0.047401997
GSM920421,0.02576286,0,0.008697892,0.122925793,0,0.168431207,0,0.036777743,0.056040917,0.010460765,0,0.101280757,0.080890719,0.012365696,0.157201863,0.114992101,0.029193744,0,0,0.063947374,0,0.011030568
GSM920422,0.057060034,0,0.006522004,0.046240193,0,0.172683771,0.004467729,0.068484304,0.014054217,0,0,0.073003424,0.076524814,0,0.119648856,0.253894311,0.058162996,0,0.029055721,0.020197626,0,0
GSM920423,0,0.117557431,0.079194432,0,0,0.068142806,0,0,0,0,0.094853424,0.127205792,0.242337612,0.012327775,0.011633555,0.072611161,0,0.053892525,0.092184414,0,0,0.028059073
GSM920424,0.043360541,0,0,0.048293342,0,0.095828767,0,0.02536999,0.051969944,0,0,0.056600528,0.199081988,0,0.163229174,0.156993118,0.033003308,0,0,0.126269299,0,0
GSM920425,0.076900934,0,0.019806345,0.044994859,0,0.065076629,0,0.015873352,0.077098592,0,0,0.083941706,0.289428188,0.055133348,0.027017372,0.115346791,0.010884333,0.022228794,0,0.092264849,0,0.004003907
GSM920426,0.024918976,0,0.014392618,0.044433078,0,0.06280906,0,0.012161777,0.064985783,0,0,0.071384103,0.231055745,0.079081621,0.037333173,0.194745679,0.010652386,0.01617853,0,0.112538467,0,0.023329003
GSM920427,0.028995064,0.002258549,0.000349196,0.039618354,0,0.081554376,0,0.020297934,0.066658169,0,0,0.060127588,0.113211506,0.142192263,0.091507405,0.308279698,0.010759937,0,0.01561811,0,0,0.018571852
GSM2642335,0.07433029,0,0.001296612,0.070215756,0,0.011968888,0.035268195,0.048698915,0.054514426,0,0.008140998,0.091599251,0.128997726,0.014161311,0.158682623,0.137443463,0.034282355,0,0,0.113090995,0,0.017308194
GSM2642336,0.024810165,0,0.052162121,0,0,0.162988417,0,0.04084069,0.013104576,0,0.028340478,0.055235222,0.271018738,0.029214103,0.138999165,0.081423273,0.024312646,0,0.033420548,0,0,0.044129857
GSM2642337,0.021538107,0,0.014349439,0.122417902,0,0.148857887,0,0.023053714,0.076741642,0.001059532,0,0.099075589,0.067581838,0,0.172054352,0.140071482,0.031061704,0,0,0.063356995,0,0.018779817
GSM2642338,0.094968845,0,0,0.04109614,0,0.143229771,0.00225572,0.04945177,0.040873936,0,0,0.086713132,0.051590535,0,0.127503133,0.245373779,0.061002,0,0.040982102,0.011542125,0,0.003417012
GSM2642339,0,0.109216912,0.091094086,0,0.020125089,0.080594598,0,0,0,0,0.052789971,0.126416625,0.285805619,0.000787309,0.016011741,0.075829516,0,0.058446105,0.054226177,0,0,0.028656253
GSM2642340,0.043703027,0,0,0.049829474,0,0.076926581,0,0.020231612,0.060253203,0,0,0.053049897,0.204193798,0,0.170754375,0.137416109,0.039016905,0,0,0.144625018,0,0
GSM2642341,0.095715084,0,0.008195612,0.094388626,0,0,0,0.035179415,0.060346954,0,0,0.098268956,0.29298653,0.061309219,0.030594908,0.116662096,0,0.019273222,0,0.08536337,0,0.001716008
GSM2642342,0.01918949,0,0.013997281,0.015023746,0,0.039831302,0,0.033897863,0.063400005,0.008610495,0,0.060942274,0.216299942,0.100468662,0.045173461,0.203383858,0.025336585,0.012146229,0,0.122506942,0,0.019791866
GSM2642343,0.036107521,0,0.012533583,0.035275904,0,0.090801718,0,0.009501359,0.083305809,0,0,0.056972928,0.133718936,0.144205713,0.096254016,0.261323097,0.010829442,0,0,0.000205862,0,0.028964111
GSM2642344,0.041671576,0,0.003705173,0.103327348,0,0.212387909,0.012248547,0,0.075467298,0,0.049837353,0,0.053555849,0.0294548,0.146535931,0.158302081,0,0,0,0.063834177,0,0.049671957
GSM2642345,0.053779971,0,0,0.114170347,0,0.043069319,0.000147504,0.000982105,0.084602138,0,0.017391167,0.073615662,0.307296351,0.056488609,0.054448186,0.142053544,0.017436585,0,0,0.034518512,0,0
GSM2642346,0.030115311,0,0,0.107272385,0,0,0.047281946,0.005730743,0.007568725,0,0,0.115190196,0.421816511,0.054523334,0.096970642,0,0.012793922,0,0.083539025,0,0,0.01719726
GSM2642347,0.049278544,0,0,0.115100525,0,0.066698653,0,0,0.062311505,0,0.040868748,0.021380343,0.358757516,0.026391282,0.101018212,0,0.081570128,0,0,0.076624545,0,0
GSM2642348,0.091171722,0,0.060099418,0.078003422,0,0.183627009,0,0.020459994,0.035811135,0,0.029042608,0.028569226,0.182555046,0,0.11437866,0.078441763,0.020071825,0,0,0.077768171,0,0
GSM2642349,0.017679734,0,0.108401186,0.030945099,0,0.001157754,0,0.004097213,0.031292827,0.018677444,0,0.069002538,0.362558911,0.067410941,0.018454972,0.010718533,0.007765786,0.004796542,0,0.144724136,0,0.102316382
GSM2642350,0,0.043116462,0.03376059,0,0.07786845,0.007543751,0.018764289,0,0.024470595,0,0,0.051809678,0.219221678,0,0.037067864,0.291774668,0.023835042,0,0.170766934,0,0,0
GSM2642351,0.056347834,0,0.052205097,0.068975438,0,0.178760782,0,0.010503276,0.083598547,0.020373368,0,0.039219279,0.007479975,0,0.129605163,0.244677739,0.03134576,0,0,0.044681022,0,0.03222672
GSM2642352,0,0.038341628,0.038489723,0,0.012742921,0,0,0.091103814,0,0.019610629,0,0.080253116,0.280694876,0,0.052176601,0.25674634,0.030911282,0,0,0.027263447,0,0.071665622
GSM2642353,0.051568324,0,0.114924084,0.043270418,0,0.037680078,0,0.005398856,0.036478167,0,0.007509198,0.048429321,0.42825194,0.019620306,0.114301135,0.032360486,0.027020094,0,0,0.033187592,0,0
GSM2642354,0.038461228,0,0.001297656,0,0,0.127226009,0,0.053349751,0,0,0,0.121723713,0.248977167,0.007497355,0.113175342,0.101130607,0.034026272,0,0,0.140683151,0,0.012451749
GSM2642355,0.013904342,0.090252215,0,0.027294908,0,0.118341374,0,0.011034141,0,0,0,0.072160382,0.098221275,0,0.034900848,0.337383404,0.015449515,0,0,0.121475814,0,0.059581782
GSM2642356,0.05986465,0,0.01296077,0.025485482,0,0.105132754,0,0.000302772,0.055407076,0,0,0.090087386,0.13343927,0.046750061,0.084197747,0.213630489,0.048234493,0,0,0.100563618,0,0.023943431
GSM2642357,0,0.040105556,0.028596408,0,0.035427118,0,0.003151081,0,0.017585588,0.027460426,0,0.017582503,0.186864719,0.042646392,0.016434895,0.427092562,0.06418655,0,0.008637076,0.003892964,0,0.080336162
GSM2642358,0,0.01652275,0.011170737,0.083335637,0,0,0,0.023585479,0.026157857,0.036798021,0,0.044294658,0.361853464,0,0.038342057,0.235611572,0.034279609,0,0,0.08804816,0,0
GSM2642359,0.016891901,0.041733053,0,0.038010184,0,0.071503194,0,0,0.079287111,0,0,0.021980975,0.123835874,0.006935691,0.161867566,0.279182568,0.036633429,0,0,0.04235634,0,0.079782113
GSM2642360,0.051058305,0,0,0.043938184,0,0.013498425,0.016794968,0.010125501,0.059729567,0,0,0.062375606,0.159993348,0.144401235,0.118088439,0.12816505,0.016841749,0,0,0.163339565,0,0.011650057
GSM2810679,0.070753334,0,0.003122344,0.068928774,0,0.016233258,0.009842407,0.053205119,0.054636032,0,0,0.099160421,0.122890109,0.026592478,0.149752903,0.110784975,0.077393315,0,0,0.123183037,0,0.013521496
GSM2810680,0.039736546,0.000390694,0.004266757,0.094481377,0,0.229329385,0.014869729,0,0.084011091,0,0.043622298,0,0.057252258,0.037045916,0.140838053,0.155486751,0.000766999,0,0,0.051668481,0,0.046233664
GSM2810681,0.056346924,0,0,0.109356007,0,0.059847598,0.004476803,0.010429678,0.076215178,0,0.0160178,0.072617463,0.291480527,0.045354423,0.052049997,0.153110434,0.020393732,0,0,0.020428457,0,0.01187498
GSM2810682,0.03039267,0,0,0.107390554,0,0,0.047590519,0.001939272,0.008390413,0,0,0.108954445,0.419033401,0.053338804,0.090480339,0,0.013268711,0,0.087643343,0,0,0.031577529
GSM2810683,0.047884277,0,0,0.119517401,0,0.110396478,0,0.005499744,0.02716278,0,0.01876244,0.042875723,0.362864699,0.042991078,0.102740928,0,0.058473822,0,0,0.060830629,0,0
GSM2810684,0.080583522,0,0.090232999,0.064957276,0,0.158371513,0,0.094336553,0.026082013,0,0.00416783,0.05094943,0.193218728,0,0.092590011,0.115919929,0,0,0,0.028590195,0,0
GSM2810685,0.017535489,0,0.110713211,0.014542655,0,0.025826131,0,0.002057171,0.024773857,0.017646796,0,0.070399853,0.326189883,0.066835555,0.0193026,0.015051515,0.008383969,0.003505377,0,0.146968589,0,0.130267351
GSM2810686,0,0.040460651,0.032816859,0.022526352,0.066458699,0,0.028882402,0,0.024926217,0.00135022,0,0.050894128,0.199576192,0,0.031333292,0.274431587,0.048247562,0,0.178095839,0,0,0
GSM2810687,0.05887438,0,0.05342135,0.079473803,0,0.170731646,0.00102533,0.005591644,0.071653824,0.026376808,0,0.021468374,0.010015726,0,0.138133476,0.247161444,0.034468019,0,0,0.05079033,0,0.030813845
GSM2810688,0.016465178,0.027671572,0.032522069,0,0,0,0,0.070973871,0,0.029500696,0,0.064423702,0.26646297,0.023682892,0.048694348,0.26456474,0.028357493,0,0,0.031883732,0,0.094796737
GSM2810689,0.058192973,0,0.124040108,0.040038876,0,0.035070375,0,0.003172817,0.039257658,0,0.003371177,0.047143283,0.414748931,0.0188614,0.118875744,0.046602059,0.024941101,0,0,0.025683499,0,0
GSM2810690,0.017822857,0,0.040599876,0,0,0.176252325,0,0.032151179,0.013637502,0,0.032660978,0.048045708,0.2679969,0.054081648,0.134934965,0.07838679,0.025138344,0,0.033590131,0,0,0.044700797
GSM2810691,0.039405777,0,0,0,0,0.137298929,0,0.058180846,0,0,0,0.131791068,0.250801065,0.009194824,0.107165016,0.092239926,0.030748354,0,0,0.136986522,0,0.006187673
GSM2810692,0.009755312,0.092905217,0,0.02867321,0,0.11111076,0,0.000216188,0.003333797,0,0,0.060218023,0.092764127,0,0.032501953,0.374615392,0.012050346,0,0,0.1162694,0,0.065586275
GSM2810693,0.064423344,0,0.011412253,0.01801802,0,0.117054167,0,0.000723006,0.042874635,0,0,0.105350926,0.139397861,0.03937605,0.084103118,0.227800823,0.027451242,0,0,0.091654245,0,0.03036031
GSM2810694,0.06829031,0,0,0.037475301,0,0.072841127,0.013117715,0.00979257,0.032587289,0,0,0.074462574,0.201537988,0.020987007,0.149658987,0.047452125,0.033848462,0,0,0.23432684,0,0.003621705
GSM2810695,0.007903205,0.031322,0.022591912,0,0.02592974,0,0.00297093,0,0.017002105,0.030277407,0,0.0161001,0.180386754,0.08199072,0.016351431,0.408382392,0.054584877,0,0.014184086,7.26E-05,0,0.089949702
GSM2810696,0,0.026724522,0.015347013,0.085585768,0,0,0,0.011517745,0.030226981,0.056894717,0,0.043299204,0.328589282,0,0.030344437,0.248375693,0.033656412,0,0,0.085237197,0,0.004201028
GSM2810697,0.018009795,0.036887795,0,0.040323842,0,0.083095601,0.001827951,0,0.076462678,0,0,0.019986793,0.124253961,0,0.156664037,0.284897782,0.041943294,0,0,0.0389702,0,0.076676272
GSM2810698,0.047625172,0,0,0.043741237,0,0.021354514,0.018423716,0.011889431,0.051097094,0,0,0.067228353,0.165798017,0.118617728,0.125464693,0.126614102,0.037929083,0,0,0.152012624,0,0.012204238
GSM2810699,0.028960329,0,0.015528316,0.107972718,0,0.154733845,0,0.028902372,0.070722923,0.024203034,0,0.104409522,0.063837787,0,0.146761264,0.144238262,0.032307578,0,0,0.059310544,0,0.018111506
GSM2810700,0.086813692,0,0,0.043887005,0,0.178814956,0.007271164,0.023515636,0.070821999,0,0,0.072598957,0.034302093,0,0.112564866,0.259841553,0.053873649,0,0.041721566,0.007544177,0,0.006428686
GSM2810701,0,0.109420556,0.082300838,0,0.034680054,0.067066104,0,0,0,0,0.0680564,0.123664126,0.283177722,0.002945725,0.013217772,0.067165909,0,0.056231829,0.064585616,0,0,0.02748735
GSM2810702,0.042857367,0,0,0.065068521,0,0.073912028,0,0.016542731,0.063331603,0,0,0.051831988,0.205654921,0,0.156936645,0.140732169,0.035421992,0,0,0.147710034,0,0
GSM2810703,0.047987568,0.021413826,0.022193077,0.09063526,0,0.030624752,0,0.022695824,0.070529044,0,0,0.085622199,0.300979669,0.057553372,0.023540435,0.11602872,0.004001564,0.025563688,0,0.080631003,0,0
GSM2810704,0.035501143,0,0.010271369,0.029448491,0,0.030320121,0,0.009817205,0.081034379,0.018929035,0,0.053511208,0.225214688,0.10654315,0.04165393,0.20519592,0.011139211,0.016771913,0,0.110788896,0,0.01385934
GSM2810705,0.032614557,0,0.017461933,0.037303605,0,0.089232016,0,0.020169456,0.062770695,0,0,0.062880598,0.125607039,0.13560479,0.084607541,0.282560647,0.011875885,0,0.007037053,0,0,0.030274187
